DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
SELWYN DISTRICT,Leeston/ Lincoln/ Southbridge/ Springston,3,23,214117.17,2013-09-01,8
SOUTH WAIKATO DISTRICT,Tokoroa,8,133,1322566.5699999998,2013-09-01,8
SOUTH WAIKATO DISTRICT,Putaruru/ Tirau,4,45,398615.47,2013-09-01,8
SOUTH WAIRARAPA DISTRICT,Featherston/ Martinborough,3,38,207792.12,2013-09-01,8
SOUTH WAIRARAPA DISTRICT,Greytown,3,31,188874.97000000003,2013-09-01,8
SOUTHLAND DISTRICT,Riverton,3,17,80454.55,2013-09-01,8
SOUTHLAND DISTRICT,Winton,3,28,140420.36000000002,2013-09-01,8
SOUTHLAND DISTRICT,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,111735.73999999999,2013-09-01,8
SOUTHLAND DISTRICT,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,65943.51,2013-09-01,8
SOUTHLAND DISTRICT,Nightcaps/ Otautau,3,15,69690.62,2013-09-01,8
SOUTHLAND DISTRICT,Te Anau,3,30,153642.68,2013-09-01,8
STRATFORD DISTRICT,Stratford,5,49,335063.18000000005,2013-09-01,8
TARARUA DISTRICT,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,127521.66,2013-09-01,8
TARARUA DISTRICT,Pahiatua,4,33,185633.02999999997,2013-09-01,8
TARARUA DISTRICT,Dannevirke,4,69,571540.18,2013-09-01,8
TASMAN DISTRICT,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,86537.20999999999,2013-09-01,8
TASMAN DISTRICT,Richmond,5,86,964199.8400000001,2013-09-01,8
TASMAN DISTRICT,Collingwood/ Riwaka/ Takaka,3,27,153256.4,2013-09-01,8
TASMAN DISTRICT,Motueka,4,54,521501.7299999999,2013-09-01,8
TAUPO DISTRICT,Taupo,12,152,1578873.54,2013-09-01,8
TAUPO DISTRICT,Mangakino/ Turangi,4,56,303878.45000000007,2013-09-01,8
TAURANGA DISTRICT,Tauranga Central,23,337,4145225.0500000007,2013-09-01,8
TAURANGA DISTRICT,Mt Maunganui,10,135,1783973.83,2013-09-01,8
TAURANGA DISTRICT,Greerton/ Papamoa,5,66,1055855.0899999999,2013-09-01,8
THAMES-COROMANDEL DISTRICT,Coromandel,4,34,185197.94,2013-09-01,8
THAMES-COROMANDEL DISTRICT,Whitianga,5,67,375454.79,2013-09-01,8
