TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
tararua district,Pahiatua,3,29,173667.48,2018-09-01,30
whangarei district,Whangarei Central,14,195,3212085.49,2018-09-01,30
tararua district,Pahiatua,3,29,181458.9800000001,2019-09-01,30
auckland,Eden Terrace/ Grafton/ Penrose,4,63,1151091.91,2011-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1057072.52,2013-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1124802.56,2014-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1181474.7200000002,2015-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1118432.7599999998,2016-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,53,1097527.46,2017-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,2,36,733766.62,2018-12-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,982121.03,2012-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1088528.2999999998,2013-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1113296.96,2014-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1115461.8,2015-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1123669.05,2016-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1011832.8,2017-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,35,525459.22,2018-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,2,36,715774.2399999999,2019-06-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1035018.2799999999,2012-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,911483.1900000002,2013-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,929170.56,2014-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1008507.2400000001,2015-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,970044.47,2016-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1002163.3700000001,2017-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,35,679823.1000000001,2018-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,2,36,748317.7499999999,2019-03-01,29
auckland,Eden Terrace/ Grafton/ Penrose,4,63,1232910.33,2011-09-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1127421.04,2014-09-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1176934.92,2015-09-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1129795.96,2016-09-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,46,972520.71,2017-09-01,29
auckland,Eden Terrace/ Grafton/ Penrose,3,36,607320.7599999999,2018-09-01,29
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,148258.58,2011-12-01,28
kaikoura district,Kaikoura Township,4,48,285724.1,2011-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,173879.95,2011-12-01,28
tararua district,Dannevirke,4,67,576167.15,2011-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,158967.06000000003,2013-12-01,28
kaikoura district,Kaikoura Township,4,48,305229.7,2013-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,133862.29,2013-12-01,28
tararua district,Dannevirke,4,69,582088.05,2013-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,157765.74,2014-12-01,28
kaikoura district,Kaikoura Township,4,48,284561.06,2014-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,30,134073.28999999998,2014-12-01,28
tararua district,Dannevirke,4,69,575675.49,2014-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,115997.89,2015-12-01,28
kaikoura district,Kaikoura Township,4,42,292749.1,2015-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,141859.25,2015-12-01,28
tararua district,Dannevirke,4,63,535692.31,2015-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,139028.58000000002,2016-12-01,28
kaikoura district,Kaikoura Township,3,33,187215.06000000008,2016-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,142747.16999999998,2016-12-01,28
tararua district,Dannevirke,4,66,638812.0700000002,2016-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,130277.53000000001,2017-12-01,28
kaikoura district,Kaikoura Township,3,15,361267.44,2017-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,3,24,142768.59,2017-12-01,28
tararua district,Dannevirke,4,66,630265.7699999998,2017-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,125605.1,2018-12-01,28
kaikoura district,Kaikoura Township,2,15,233636.6699999999,2018-12-01,28
tararua district,Dannevirke,4,69,726263.03,2018-12-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,2,17,117004.26,2018-12-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,136849.59,2012-06-01,28
kaikoura district,Kaikoura Township,4,48,265942.28,2012-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,151216.91,2012-06-01,28
tararua district,Dannevirke,3,51,536768.22,2012-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,145492.42,2013-06-01,28
kaikoura district,Kaikoura Township,4,48,240556.47,2013-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,161848.5,2013-06-01,28
tararua district,Dannevirke,4,69,592291.71,2013-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,142011.01,2014-06-01,28
kaikoura district,Kaikoura Township,4,48,237218.94,2014-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,136396.19,2014-06-01,28
tararua district,Dannevirke,4,69,529270.18,2014-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,136280.62,2015-06-01,28
kaikoura district,Kaikoura Township,4,48,261462.16999999998,2015-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,30,162751.87999999998,2015-06-01,28
tararua district,Dannevirke,3,51,520936.67,2015-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,123448.4,2016-06-01,28
kaikoura district,Kaikoura Township,4,42,260373.96,2016-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,27,153801.98,2016-06-01,28
tararua district,Dannevirke,4,63,616073.15,2016-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,123686.90000000001,2017-06-01,28
kaikoura district,Kaikoura Township,3,24,203918.95,2017-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,148726.33,2017-06-01,28
tararua district,Dannevirke,4,66,572943.1100000001,2017-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,116877.73000000001,2018-06-01,28
kaikoura district,Kaikoura Township,3,15,304708.97,2018-06-01,28
tararua district,Dannevirke,4,66,636462.3300000002,2018-06-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,3,24,125139.21,2018-06-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,138522.09,2012-03-01,28
kaikoura district,Kaikoura Township,4,48,333222.96,2012-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,153634.78999999998,2012-03-01,28
tararua district,Dannevirke,4,67,569198.91,2012-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,148575.39,2013-03-01,28
kaikoura district,Kaikoura Township,4,48,308450.84,2013-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,138181.6,2013-03-01,28
tararua district,Dannevirke,4,69,581831.7000000001,2013-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,157560.85,2014-03-01,28
kaikoura district,Kaikoura Township,4,48,323717.88,2014-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,141991.31,2014-03-01,28
tararua district,Dannevirke,4,69,535875.79,2014-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,16,149362.11,2015-03-01,28
kaikoura district,Kaikoura Township,4,48,267006.26,2015-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,30,141723.38,2015-03-01,28
tararua district,Dannevirke,4,69,537453.9400000001,2015-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,107836.04999999999,2016-03-01,28
kaikoura district,Kaikoura Township,4,42,286817.46,2016-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,27,157866.32,2016-03-01,28
tararua district,Dannevirke,4,63,580366.84,2016-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,114877.94999999998,2017-03-01,28
kaikoura district,Kaikoura Township,3,24,165214.57,2017-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,148323.83000000002,2017-03-01,28
tararua district,Dannevirke,4,66,608770.3200000001,2017-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,134264.89,2018-03-01,28
kaikoura district,Kaikoura Township,3,15,303987.2800000001,2018-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,3,24,145934.82,2018-03-01,28
tararua district,Dannevirke,4,66,603728.1900000001,2018-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,117574.22,2019-03-01,28
kaikoura district,Kaikoura Township,2,15,261999.29000000004,2019-03-01,28
tararua district,Dannevirke,4,69,666391.1200000001,2019-03-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,2,17,126258.91,2019-03-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,153019.58000000002,2011-09-01,28
kaikoura district,Kaikoura Township,4,48,231428.08000000002,2011-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,167640.38,2011-09-01,28
tararua district,Dannevirke,3,51,569968.8300000001,2011-09-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,4,24,129184.22,2014-09-01,28
kaikoura district,Kaikoura Township,4,48,222365.37,2014-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,30,135863.99000000002,2014-09-01,28
tararua district,Dannevirke,4,69,536178.92,2014-09-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,140008.66,2015-09-01,28
kaikoura district,Kaikoura Township,4,42,236447.52000000002,2015-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,138610.27000000002,2015-09-01,28
tararua district,Dannevirke,3,51,492770.7,2015-09-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,141186.57,2016-09-01,28
kaikoura district,Kaikoura Township,3,33,223881.8,2016-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,4,26,174240.65999999997,2016-09-01,28
tararua district,Dannevirke,4,63,588934.33,2016-09-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,127497.79999999997,2017-09-01,28
kaikoura district,Kaikoura Township,3,15,304661.4800000001,2017-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,3,24,128980.98,2017-09-01,28
tararua district,Dannevirke,4,66,641328.8600000002,2017-09-01,28
hurunui district,Amberley/ Leithfield Beach/Waipara,3,21,123266.31,2018-09-01,28
kaikoura district,Kaikoura Township,3,15,279376.34,2018-09-01,28
tararua district,Dannevirke,4,69,667295.2400000003,2018-09-01,28
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,3,24,122316.25,2018-09-01,28
auckland,Auckland City / Ostend/ Surfdale (Waiheke),16,203,2747639.81,2013-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,30,209071.74,2013-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,11,153,2668480.5,2013-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,86,941076.27,2013-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,158,2434054.16,2014-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,277053.1699999999,2014-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2584287.3800000004,2014-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,89,997572.3799999999,2014-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,165,2412997.05,2015-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,312020.7,2015-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2629998.77,2015-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1007081.2,2015-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,146,2623585.91,2016-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,33,332422.6300000001,2016-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2661037,2016-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1164381.52,2016-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,138,2365966.5,2017-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,311003.54,2017-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2975029.73,2017-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1213473.8399999999,2017-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),10,126,2476143.49,2018-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,270698.8600000001,2018-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3134793.6900000004,2018-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,87,1127263.3399999999,2018-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),10,130,2524894.3599999994,2019-12-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,277935.08,2019-12-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3259855.9200000004,2019-12-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,87,1037270.3900000001,2019-12-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),16,208,2787942.1799999992,2013-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,30,224629.42,2013-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,11,153,2573189.81,2013-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,86,1062783.3399999999,2013-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),16,203,2645875.8999999994,2014-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,256974.68999999997,2014-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,10,135,2455766.9400000004,2014-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,89,752004.1200000001,2014-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,158,2436444.72,2015-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,307577.75,2015-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2582505,2015-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,955383.2899999998,2015-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,146,2337350.67,2016-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,33,294626.88999999996,2016-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2497338.6,2016-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1096893.5899999999,2016-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,144,2503995.6300000004,2017-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,291679.62000000005,2017-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2708128.6100000003,2017-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1172079.6199999999,2017-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,142,2436374.38,2018-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,310613.45,2018-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3052642.1100000003,2018-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,88,1146720.8599999999,2018-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),10,126,2543960.530000001,2019-06-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,258776.34,2019-06-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3082571.5500000003,2019-06-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,87,1068665.7400000005,2019-06-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),15,201,2744230.8599999994,2013-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,30,222152.08999999997,2013-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,11,153,2315271.22,2013-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,86,934668.9999999999,2013-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),16,203,2594777.5200000005,2014-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,217650.67,2014-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,11,153,2447916.34,2014-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,71,669791.74,2014-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,158,2321609.92,2015-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,265954.35,2015-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2311741.38,2015-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,98,857815.0800000001,2015-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,165,2270707.12,2016-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,30,327202.88,2016-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2370993.68,2016-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,985200.4100000001,2016-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,146,2411057.92,2017-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,306189.77,2017-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2586932.1999999997,2017-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1044480.5100000007,2017-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,140,2163686.49,2018-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,312755.6800000001,2018-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2736609.5300000003,2018-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1098204.54,2018-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),10,126,2295323,2019-03-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,241263.51,2019-03-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2965062.86,2019-03-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,87,927586.4,2019-03-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),14,176,2492095.61,2014-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,244439.52000000005,2014-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,10,135,2641283.04,2014-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,89,905532.73,2014-09-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),13,158,2459755.4699999997,2015-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,6,35,293694.86,2015-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,131,2754905.17,2015-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,79,791382.23,2015-09-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,146,2436878.71,2016-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,5,33,323624.22,2016-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,8,129,2619772.32,2016-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1092128.62,2016-09-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,138,2341337.15,2017-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,312636.87000000017,2017-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,2843960.3100000005,2017-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,6,97,1187870.5700000003,2017-09-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),11,142,2610274.48,2018-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,3,19,196482.92,2018-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3238411.51,2018-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,88,1083618.1799999995,2018-09-01,27
auckland,Auckland City / Ostend/ Surfdale (Waiheke),10,126,2608548.5000000005,2019-09-01,27
kaipara district,Maungaturoto/ Paparoa/Ruawai / Kaiwaka/ Mangawhai,4,28,238964.22000000003,2019-09-01,27
porirua city,Porirua/ Judgeford / Plimmerton/ Mana-Camborne/ Whitby,9,138,3410158.2,2019-09-01,27
wellington city,Brooklyn/ Karori / Strathmore/ Te Aro,5,87,1016666.2100000004,2019-09-01,27
hauraki district,Waihi,4,57,506077.87999999995,2011-12-01,26
hauraki district,Waihi,4,57,445091.98000000004,2015-12-01,26
hauraki district,Waihi,4,57,500888.1600000002,2016-12-01,26
hauraki district,Waihi,4,57,540618.1600000001,2017-12-01,26
hauraki district,Waihi,4,57,595585.7499999998,2018-12-01,26
hauraki district,Waihi,4,57,609259.6900000002,2019-12-01,26
hauraki district,Waihi,4,57,441605.73,2012-06-01,26
hauraki district,Waihi,4,57,399402.72,2013-06-01,26
hauraki district,Waihi,4,57,418390.26,2015-06-01,26
hauraki district,Waihi,4,57,452186.24,2016-06-01,26
hauraki district,Waihi,4,57,502233.02000000014,2017-06-01,26
hauraki district,Waihi,4,57,621454.8100000002,2018-06-01,26
hauraki district,Waihi,4,57,561686.6299999999,2019-06-01,26
hauraki district,Waihi,4,57,473058.38,2012-03-01,26
hauraki district,Waihi,4,57,387667.27,2013-03-01,26
hauraki district,Waihi,4,57,413937.02999999997,2015-03-01,26
hauraki district,Waihi,4,57,445390.87,2016-03-01,26
hauraki district,Waihi,4,57,512699.3999999999,2017-03-01,26
hauraki district,Waihi,4,57,538032.97,2018-03-01,26
hauraki district,Waihi,4,57,561595.4300000003,2019-03-01,26
hauraki district,Waihi,4,57,457512.22,2011-09-01,26
hauraki district,Waihi,4,57,405555.54000000004,2015-09-01,26
hauraki district,Waihi,4,57,510570.4,2016-09-01,26
hauraki district,Waihi,4,57,559350.8,2017-09-01,26
hauraki district,Waihi,4,57,620386.0600000002,2018-09-01,26
hauraki district,Waihi,4,57,566940.2500000002,2019-09-01,26
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,27,124159.84999999999,2011-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,655380.42,2011-12-01,25
dunedin city,Dunedin Central/Green Island,12,161,1361661.6,2013-12-01,25
lower hutt city,Other - Lower Hutt City,5,49,303075.14,2013-12-01,25
lower hutt city,Stokes Valley,3,40,397027.89999999997,2013-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,221807.88,2013-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,59,629677.83,2013-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,9,105,758434.4299999999,2013-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,835815.8800000001,2013-12-01,25
dunedin city,Dunedin Central/Green Island,13,171,1445356.32,2014-12-01,25
lower hutt city,Other - Lower Hutt City,4,50,269618.46,2014-12-01,25
lower hutt city,Stokes Valley,3,40,369634.6,2014-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,212706.11000000002,2014-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,655023.5299999999,2014-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,6,67,530469.53,2014-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,894821.4400000001,2014-12-01,25
dunedin city,Dunedin Central/Green Island,10,144,1274727.9,2015-12-01,25
lower hutt city,Other - Lower Hutt City,4,50,362227.95999999996,2015-12-01,25
lower hutt city,Stokes Valley,3,41,345338.17,2015-12-01,25
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,24,220877.12999999998,2015-12-01,25
selwyn district,Darfield/ Prebbleton/Rolleston,7,58,716885.08,2015-12-01,25
waitomo district,Awakino/ Piopio/ Te Kuiti/ Kawhia/ Otorohanga,5,63,566710.69,2015-12-01,25
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga/Marsden Point/ Ruakaka/ Waipu,7,93,846765.62,2015-12-01,25
dunedin city,Dunedin Central/Green Island,9,138,1283683.94,2016-12-01,25
lower hutt city,Other - Lower Hutt City,4,50,370871.58000000013,2016-12-01,25
