TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,306401.77,2013-09-01,8
ruapehu district,Taumarunui Central,3,45,439561.85,2013-09-01,8
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,268018.9,2013-09-01,8
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,214117.17,2013-09-01,8
south waikato district,Tokoroa,8,133,1322566.5699999998,2013-09-01,8
south waikato district,Putaruru/ Tirau,4,45,398615.47,2013-09-01,8
south wairarapa district,Featherston/ Martinborough,3,38,207792.12,2013-09-01,8
south wairarapa district,Greytown,3,31,188874.97000000003,2013-09-01,8
southland district,Riverton,3,17,80454.55,2013-09-01,8
southland district,Winton,3,28,140420.36000000002,2013-09-01,8
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,111735.73999999999,2013-09-01,8
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,65943.51,2013-09-01,8
southland district,Nightcaps/ Otautau,3,15,69690.62,2013-09-01,8
southland district,Te Anau,3,30,153642.68,2013-09-01,8
stratford district,Stratford,5,49,335063.18000000005,2013-09-01,8
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,127521.66,2013-09-01,8
tararua district,Pahiatua,4,33,185633.02999999997,2013-09-01,8
tararua district,Dannevirke,4,69,571540.18,2013-09-01,8
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,86537.20999999999,2013-09-01,8
tasman district,Richmond,5,86,964199.8400000001,2013-09-01,8
tasman district,Collingwood/ Riwaka/ Takaka,3,27,153256.4,2013-09-01,8
tasman district,Motueka,4,54,521501.7299999999,2013-09-01,8
taupo district,Taupo,12,152,1578873.54,2013-09-01,8
taupo district,Mangakino/ Turangi,4,56,303878.45000000007,2013-09-01,8
tauranga city,Tauranga Central,23,337,4145225.0500000007,2013-09-01,8
tauranga city,Mt Maunganui,10,135,1783973.83,2013-09-01,8
tauranga city,Greerton/ Papamoa,5,66,1055855.0899999999,2013-09-01,8
thames-coromandel district,Coromandel,4,34,185197.94,2013-09-01,8
thames-coromandel district,Whitianga,5,67,375454.79,2013-09-01,8
thames-coromandel district,Thames,7,82,862046.3,2013-09-01,8
thames-coromandel district,Whangamata,4,66,474774.58,2013-09-01,8
thames-coromandel district,Pauanui Beach/ Tairua,3,21,86606.33,2013-09-01,8
timaru district,Timaru Gardens,5,72,982776.83,2013-09-01,8
timaru district,Timaru,10,113,1208531.82,2013-09-01,8
timaru district,Geraldine,4,32,246951.32999999996,2013-09-01,8
timaru district,Temuka,5,51,353418.30999999994,2013-09-01,8
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,10,148,2347976.89,2013-09-01,8
waikato district,Ngaruwahia,4,50,352653.08999999997,2013-09-01,8
waikato district,Huntly,4,59,566067.58,2013-09-01,8
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,282978.48,2013-09-01,8
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,199268.87999999998,2013-09-01,8
waimakariri district,Kaiapoi,5,63,872095.46,2013-09-01,8
waimakariri district,Oxford/ Woodend,3,39,239629.08000000002,2013-09-01,8
waimakariri district,Rangiora,6,72,929140.45,2013-09-01,8
waimate district,Waimate,6,34,222315.78999999998,2013-09-01,8
waipa district,Kihikihi/ Pirongia/ Te Awamutu,8,115,1142089.96,2013-09-01,8
waipa district,Cambridge,6,95,829289.02,2013-09-01,8
wairoa district,Mahia Beach/ Wairoa,4,58,606355.22,2013-09-01,8
waitakere city,New Lynn,7,83,1203137.34,2013-09-01,8
waitakere city,Henderson,10,162,3210014.28,2013-09-01,8
waitakere city,Glen Eden,5,56,977410.81,2013-09-01,8
waitakere city,Kelston/ Titirangi,3,46,962229.3,2013-09-01,8
waitakere city,Te Atatu,3,35,488582.52,2013-09-01,8
waitaki district,Oamaru,5,77,751561.33,2013-09-01,8
waitaki district,Kurow/ Omarama/ Otematata,7,38,174691.29000000004,2013-09-01,8
waitomo district,Awakino/ Piopio/ Te Kuiti,7,83,598878.3,2013-09-01,8
whanganui district,Castlecliff/ Gonville/ Wanganui,18,257,2374216.1700000004,2013-09-01,8
wellington city,Lambton/ Seatoun/ Thorndon,3,25,406275.73,2013-09-01,8
wellington city,Kilbirnie,4,57,841759.7599999999,2013-09-01,8
wellington city,Wellington Central,19,296,3800188.77,2013-09-01,8
wellington city,Newtown,3,54,742988.5700000001,2013-09-01,8
wellington city,Island Bay,3,25,279275.94,2013-09-01,8
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,3,52,846551.36,2013-09-01,8
western bay of plenty district,Katikati,4,52,291169.61,2013-09-01,8
western bay of plenty district,Te Puke,6,74,767270.6000000001,2013-09-01,8
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,361628.1,2013-09-01,8
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,62,443252.69999999995,2013-09-01,8
whakatane district,Whakatane Central,8,120,1599921.84,2013-09-01,8
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,303486.12,2013-09-01,8
whakatane district,Murupara/ Ohope/ Poroporo,4,47,246695.12,2013-09-01,8
whangarei district,Marsden Point/ Ruakaka/ Waipu,3,43,318587.55,2013-09-01,8
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga,5,58,556857.04,2013-09-01,8
whangarei district,Whangarei Central,15,212,2636014.51,2013-09-01,8
ashburton district,Ashburton,8,118,2009545.6099999999,2012-09-01,7
ashburton district,Hinds/ Methven/ Rakaia,5,34,290543.95,2012-09-01,7
auckland,Newton,7,98,884614.44,2012-09-01,7
auckland,Auckland City,13,174,2685500.76,2012-09-01,7
auckland,Otahuhu,11,172,2730395.3600000003,2012-09-01,7
auckland,Onehunga,8,106,1735155.7799999998,2012-09-01,7
auckland,Royal Oak,4,54,757320.4999999999,2012-09-01,7
buller district,Westport,6,60,589032.49,2012-09-01,7
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,185166.44,2012-09-01,7
carterton district,Carterton,4,50,373546.95000000007,2012-09-01,7
central otago district,Alexandra,4,59,410411.43000000005,2012-09-01,7
central otago district,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,4,17,105707.63,2012-09-01,7
central otago district,Cromwell,4,52,255189.04000000004,2012-09-01,7
central otago district,Roxburgh,3,10,49933.659999999996,2012-09-01,7
chatham islands district,Chatham Islands,1,2,42067.82,2012-09-01,7
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1613752.5799999998,2012-09-01,7
christchurch city,Christchurch Central,9,73,487751.62,2012-09-01,7
christchurch city,New Brighton,6,42,504745.3,2012-09-01,7
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,4,48,733567.5800000001,2012-09-01,7
christchurch city,Addington/ Middleton/ Waltham,4,64,632409.29,2012-09-01,7
christchurch city,Belfast/ Kainga,3,42,657219.06,2012-09-01,7
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,4,72,945476.72,2012-09-01,7
christchurch city,Halswell,3,45,770228.48,2012-09-01,7
christchurch city,Riccarton,6,107,1352213.76,2012-09-01,7
christchurch city,Harewood/ Merivale/ Redwood,6,77,1116971.42,2012-09-01,7
