SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
PUB CHARITY LIMITED,KARAMEA VILLAGE HOTEL,"CORNER WAVERLEY STREET AND WHARF ROAD
KARAMEA
BULLER 7650",BULLER DISTRICT,4
PUB CHARITY LIMITED,HIGHWAY INN,"527 SAWYERS ARMS ROAD
HAREWOOD
CHRISTCHURCH 8051",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,4
THE TRUSTS COMMUNITY FOUNDATION LIMITED,CATLINS INN,"21 RYLEY STREET
OWAKA
OTAGO 9251",CLUTHA DISTRICT,4
New Zealand Community Trust,THE NORMANBY TAVERN & BISTRO,"454 NORTH ROAD
NORMANBY
DUNEDIN 9001",DUNEDIN CITY,4
THE KAWAKAWA AND DISTRICT RSA INCORPORATED,KAWAKAWA AND DISTRICT RSA,"29 Albert Street
KAWAKAWA
NORTHLAND 0210
NEW ZEALAND",FAR NORTH DISTRICT,4
THE LION FOUNDATION (2008),STORTFORD LODGE SOCIAL CLUB,"103 STORTFORD STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,4
TRUST AORAKI LIMITED,FAIRLIE HOTEL,"69 MAIN STREET
FAIRLIE
CANTERBURY 8771",MACKENZIE DISTRICT,4
AIR RESCUE SERVICES LIMITED,DUNSANDEL TAVERN,"3374 MAIN SOUTH ROAD
DUNSANDEL
CANTERBURY 8190",SELWYN DISTRICT,4
THE SOUTHERN TRUST,WALLACETOWN TAVERN,"94 DALRY STREET
WALLACETOWN
SOUTHLAND 9502",SOUTHLAND DISTRICT,4
THE SOUTHERN TRUST,RIVERSDALE HOTEL,"74 NEWCASTLE STREET
RIVERSDALE
SOUTHLAND 9754",SOUTHLAND DISTRICT,4
THE SOUTHERN TRUST,Railway Hotel Nightcaps,"1 CLAPPS STREET
NIGHTCAPS
SOUTHLAND 9651",SOUTHLAND DISTRICT,4
WAIAU TOWN & COUNTRY CLUB INCORPORATED,WAIAU TOWN & COUNTRY CLUB,"41 KING STREET
TUATAPERE
SOUTHLAND 9620
NEW ZEALAND",SOUTHLAND DISTRICT,4
New Zealand Community Trust,TAPAWERA HOTEL,"84 MAIN ROAD
TAPAWERA
TASMAN DISTRICT 7181",TASMAN DISTRICT,4
